2026-04-26 21:58:50,117 | MAIN | INFO | Loading cameras into Redis
2026-04-26 21:58:50,219 | MAIN | INFO | Loaded 4 cameras
2026-04-26 22:45:01,260 | MAIN | INFO | Loading cameras into Redis
2026-04-26 22:45:01,342 | MAIN | INFO | Loaded 4 cameras
2026-04-29 20:04:52,183 | MAIN | INFO | Loading cameras into Redis
2026-04-29 20:04:52,307 | MAIN | INFO | Loaded 4 cameras
2026-04-29 20:20:13,520 | MAIN | INFO | Loading cameras into Redis
2026-04-29 20:20:13,576 | MAIN | INFO | Loaded 4 cameras
2026-04-29 20:28:46,958 | MAIN | INFO | Loading cameras into Redis
2026-04-29 20:28:47,005 | MAIN | INFO | Loaded 4 cameras
2026-04-29 20:35:20,619 | MAIN | INFO | Loading cameras into Redis
2026-04-29 20:35:20,666 | MAIN | INFO | Loaded 4 cameras
2026-04-29 20:41:33,398 | MAIN | INFO | Loading cameras into Redis
2026-04-29 20:41:33,447 | MAIN | INFO | Loaded 4 cameras
2026-04-29 20:52:55,641 | MAIN | INFO | Loading cameras into Redis
2026-04-29 20:52:55,673 | MAIN | INFO | Loaded 4 cameras
2026-04-29 21:02:30,290 | MAIN | INFO | Loading cameras into Redis
2026-04-29 21:02:30,343 | MAIN | INFO | Loaded 4 cameras
2026-04-29 23:52:23,465 | MAIN | INFO | Loading cameras into Redis
2026-04-29 23:52:23,552 | MAIN | INFO | Loaded 4 cameras
2026-04-30 14:03:28,477 | MAIN | INFO | Loading cameras into Redis
2026-04-30 14:03:28,535 | MAIN | INFO | Loaded 4 cameras
2026-04-30 14:18:02,947 | MAIN | INFO | Loading cameras into Redis
2026-04-30 14:18:03,003 | MAIN | INFO | Loaded 4 cameras
2026-04-30 14:48:54,576 | MAIN | INFO | Loading cameras into Redis
2026-04-30 14:48:54,656 | MAIN | INFO | Loaded 4 cameras
2026-04-30 14:57:44,381 | MAIN | INFO | Loading cameras into Redis
2026-04-30 14:57:44,437 | MAIN | INFO | Loaded 4 cameras
2026-05-05 11:54:44,065 | MAIN | INFO | Loading cameras into Redis
2026-05-05 11:54:44,162 | MAIN | INFO | Loaded 4 cameras
2026-05-05 11:58:24,523 | MAIN | INFO | Loading cameras into Redis
2026-05-05 11:58:24,587 | MAIN | INFO | Loaded 4 cameras
2026-05-05 14:46:14,008 | MAIN | INFO | Loading cameras into Redis
2026-05-05 14:46:14,113 | MAIN | INFO | Loaded 4 cameras
2026-05-09 23:16:47,329 | MAIN | INFO | Loading cameras into Redis
2026-05-09 23:16:47,380 | MAIN | INFO | Loaded 4 cameras
2026-05-09 23:33:20,897 | MAIN | INFO | Loading cameras into Redis
2026-05-09 23:33:20,935 | MAIN | INFO | Loaded 4 cameras
2026-05-09 23:36:06,346 | MAIN | INFO | Loading cameras into Redis
2026-05-09 23:36:06,387 | MAIN | INFO | Loaded 4 cameras
2026-05-09 23:45:11,139 | MAIN | INFO | Loading cameras into Redis
2026-05-09 23:45:11,191 | MAIN | INFO | Loaded 4 cameras
2026-05-09 23:52:32,949 | MAIN | INFO | Loading cameras into Redis
2026-05-09 23:52:33,009 | MAIN | INFO | Loaded 4 cameras
2026-05-10 00:18:16,212 | MAIN | INFO | Loading cameras into Redis
2026-05-10 00:18:16,260 | MAIN | INFO | Loaded 4 cameras
2026-05-10 00:21:32,574 | MAIN | INFO | Loading cameras into Redis
2026-05-10 00:21:32,613 | MAIN | INFO | Loaded 4 cameras
2026-05-10 00:30:49,506 | MAIN | INFO | Loading cameras into Redis
2026-05-10 00:30:49,539 | MAIN | INFO | Loaded 4 cameras
2026-05-10 12:12:17,687 | MAIN | INFO | Loading cameras into Redis
2026-05-10 12:12:17,759 | MAIN | INFO | Loaded 4 cameras
2026-05-11 14:22:27,769 | MAIN | INFO | Loading cameras into Redis
2026-05-11 14:22:27,857 | MAIN | INFO | Loaded 4 cameras
2026-05-11 14:46:34,529 | MAIN | INFO | Loading cameras into Redis
2026-05-11 14:46:34,571 | MAIN | INFO | Loaded 4 cameras
2026-05-11 14:55:19,535 | MAIN | INFO | Loading cameras into Redis
2026-05-11 14:55:19,567 | MAIN | INFO | Loaded 4 cameras
2026-05-11 15:02:12,274 | MAIN | INFO | Loading cameras into Redis
2026-05-11 15:02:12,343 | MAIN | INFO | Loaded 4 cameras
2026-05-11 15:07:49,301 | MAIN | INFO | Loading cameras into Redis
2026-05-11 15:07:49,365 | MAIN | INFO | Loaded 4 cameras
2026-05-11 15:29:03,390 | MAIN | INFO | Loading cameras into Redis
2026-05-11 15:29:03,449 | MAIN | INFO | Loaded 4 cameras
2026-05-11 15:36:03,442 | MAIN | INFO | Loading cameras into Redis
2026-05-11 15:36:03,486 | MAIN | INFO | Loaded 4 cameras
2026-05-11 16:01:38,721 | MAIN | INFO | Loading cameras into Redis
2026-05-11 16:01:38,768 | MAIN | INFO | Loaded 4 cameras
2026-05-11 19:37:40,028 | MAIN | INFO | Loading cameras into Redis
2026-05-11 19:38:02,797 | MAIN | INFO | Error in Line no : 15: due to object of type 'NoneType' has no len()
2026-05-11 19:40:00,836 | MAIN | INFO | Loading cameras into Redis
2026-05-11 19:40:00,880 | MAIN | INFO | Loaded 4 cameras
