2026-04-26 21:58:50,219 | PROCESSOR_MANAGER | INFO | Launching process for 2 cameras
2026-04-26 21:58:50,252 | PROCESSOR_MANAGER | INFO | Launching process for 2 cameras
2026-04-26 22:00:33,674 | PROCESSOR_MANAGER | INFO | All processes finished
2026-04-26 22:45:01,348 | PROCESSOR_MANAGER | INFO | Launching process for 2 cameras
2026-04-26 22:45:01,378 | PROCESSOR_MANAGER | INFO | Launching process for 2 cameras
2026-04-26 22:47:06,380 | PROCESSOR_MANAGER | INFO | All processes finished
2026-04-29 20:04:52,308 | PROCESSOR_MANAGER | INFO | Launching process for 2 cameras
2026-04-29 20:04:52,389 | PROCESSOR_MANAGER | INFO | Launching process for 2 cameras
2026-04-29 20:07:04,388 | PROCESSOR_MANAGER | INFO | All processes finished
2026-04-29 20:20:13,577 | PROCESSOR_MANAGER | INFO | Launching process for 2 cameras
2026-04-29 20:20:13,610 | PROCESSOR_MANAGER | INFO | Launching process for 2 cameras
2026-04-29 20:22:17,847 | PROCESSOR_MANAGER | INFO | All processes finished
2026-04-29 20:28:47,005 | PROCESSOR_MANAGER | INFO | Launching process for 2 cameras
2026-04-29 20:28:47,035 | PROCESSOR_MANAGER | INFO | Launching process for 2 cameras
2026-04-29 20:30:51,919 | PROCESSOR_MANAGER | INFO | All processes finished
2026-04-29 20:35:20,666 | PROCESSOR_MANAGER | INFO | Launching process for 2 cameras
2026-04-29 20:35:20,696 | PROCESSOR_MANAGER | INFO | Launching process for 2 cameras
2026-04-29 20:37:26,002 | PROCESSOR_MANAGER | INFO | All processes finished
2026-04-29 20:41:33,447 | PROCESSOR_MANAGER | INFO | Launching process for 2 cameras
2026-04-29 20:41:33,481 | PROCESSOR_MANAGER | INFO | Launching process for 2 cameras
2026-04-29 20:43:36,851 | PROCESSOR_MANAGER | INFO | All processes finished
2026-04-29 20:52:55,673 | PROCESSOR_MANAGER | INFO | Launching process for 2 cameras
2026-04-29 20:52:55,705 | PROCESSOR_MANAGER | INFO | Launching process for 2 cameras
2026-04-29 20:55:00,471 | PROCESSOR_MANAGER | INFO | All processes finished
2026-04-29 21:02:30,343 | PROCESSOR_MANAGER | INFO | Launching process for 2 cameras
