2026-04-26 21:58:50,210 | REDIS_SERVER | INFO | Loaded camera c1 into Redis
2026-04-26 21:58:50,214 | REDIS_SERVER | INFO | Loaded camera c2 into Redis
2026-04-26 21:58:50,217 | REDIS_SERVER | INFO | Loaded camera c3 into Redis
2026-04-26 21:58:50,219 | REDIS_SERVER | INFO | Loaded camera c4 into Redis
2026-04-26 22:45:01,324 | REDIS_SERVER | INFO | Loaded camera c1 into Redis
2026-04-26 22:45:01,340 | REDIS_SERVER | INFO | Loaded camera c2 into Redis
2026-04-26 22:45:01,342 | REDIS_SERVER | INFO | Loaded camera c3 into Redis
2026-04-26 22:45:01,342 | REDIS_SERVER | INFO | Loaded camera c4 into Redis
2026-04-29 20:04:52,290 | REDIS_SERVER | INFO | Loaded camera c1 into Redis
2026-04-29 20:04:52,298 | REDIS_SERVER | INFO | Loaded camera c2 into Redis
2026-04-29 20:04:52,302 | REDIS_SERVER | INFO | Loaded camera c3 into Redis
2026-04-29 20:04:52,305 | REDIS_SERVER | INFO | Loaded camera c4 into Redis
2026-04-29 20:20:13,569 | REDIS_SERVER | INFO | Loaded camera c1 into Redis
2026-04-29 20:20:13,572 | REDIS_SERVER | INFO | Loaded camera c2 into Redis
2026-04-29 20:20:13,572 | REDIS_SERVER | INFO | Loaded camera c3 into Redis
2026-04-29 20:20:13,576 | REDIS_SERVER | INFO | Loaded camera c4 into Redis
2026-04-29 20:28:46,998 | REDIS_SERVER | INFO | Loaded camera c1 into Redis
2026-04-29 20:28:46,998 | REDIS_SERVER | INFO | Loaded camera c2 into Redis
2026-04-29 20:28:47,005 | REDIS_SERVER | INFO | Loaded camera c3 into Redis
2026-04-29 20:28:47,005 | REDIS_SERVER | INFO | Loaded camera c4 into Redis
2026-04-29 20:35:20,666 | REDIS_SERVER | INFO | Loaded camera c1 into Redis
2026-04-29 20:35:20,666 | REDIS_SERVER | INFO | Loaded camera c2 into Redis
2026-04-29 20:35:20,666 | REDIS_SERVER | INFO | Loaded camera c3 into Redis
2026-04-29 20:35:20,666 | REDIS_SERVER | INFO | Loaded camera c4 into Redis
2026-04-29 20:41:33,447 | REDIS_SERVER | INFO | Loaded camera c1 into Redis
2026-04-29 20:41:33,447 | REDIS_SERVER | INFO | Loaded camera c2 into Redis
2026-04-29 20:41:33,447 | REDIS_SERVER | INFO | Loaded camera c3 into Redis
2026-04-29 20:41:33,447 | REDIS_SERVER | INFO | Loaded camera c4 into Redis
2026-04-29 20:52:55,673 | REDIS_SERVER | INFO | Loaded camera c1 into Redis
2026-04-29 20:52:55,673 | REDIS_SERVER | INFO | Loaded camera c2 into Redis
2026-04-29 20:52:55,673 | REDIS_SERVER | INFO | Loaded camera c3 into Redis
2026-04-29 20:52:55,673 | REDIS_SERVER | INFO | Loaded camera c4 into Redis
2026-04-29 21:02:30,322 | REDIS_SERVER | INFO | Loaded camera c1 into Redis
2026-04-29 21:02:30,322 | REDIS_SERVER | INFO | Loaded camera c2 into Redis
2026-04-29 21:02:30,339 | REDIS_SERVER | INFO | Loaded camera c3 into Redis
2026-04-29 21:02:30,341 | REDIS_SERVER | INFO | Loaded camera c4 into Redis
2026-04-29 23:52:23,542 | REDIS_SERVER | INFO | Loaded camera c1 into Redis
2026-04-29 23:52:23,542 | REDIS_SERVER | INFO | Loaded camera c2 into Redis
2026-04-29 23:52:23,542 | REDIS_SERVER | INFO | Loaded camera c3 into Redis
2026-04-29 23:52:23,542 | REDIS_SERVER | INFO | Loaded camera c4 into Redis
