2026-05-11 22:53:46,754 | SEGMENTATION_SUBSCRIBER | INFO | Segmentation Subscriber Started
2026-05-11 22:53:47,030 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:53:47,291 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:53:47,512 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:53:47,777 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:53:48,014 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:53:48,239 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:53:48,443 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:53:48,714 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:53:48,975 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:53:49,215 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:53:49,457 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:53:49,711 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:53:49,953 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:53:50,208 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:53:50,441 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:53:50,746 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:53:51,101 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:53:51,365 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:53:51,634 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:53:51,949 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:53:52,243 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:53:52,499 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:53:52,776 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:53:53,040 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
2026-05-11 22:53:53,263 | SEGMENTATION_SUBSCRIBER | INFO | Processing Segmentation : c4
